RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
227,5.59,0.00,19.67
228,5.66,0.00,21.75
229,5.63,0.00,21.50
230,5.74,0.00,21.00
231,5.74,0.00,20.62
232,5.74,0.00,20.75
233,5.82,0.00,23.29
234,5.93,0.00,22.71
235,5.93,0.00,20.12
236,5.93,0.00,20.38
237,5.93,0.00,20.62
238,5.93,0.00,18.78
239,5.93,0.00,19.11
240,5.93,0.00,18.78
241,5.99,0.00,18.44
242,6.06,0.00,20.25
243,6.06,0.00,18.44
244,6.06,0.00,18.78
245,6.06,0.00,18.44
246,6.03,0.00,18.33
247,6.17,0.00,18.00
248,6.17,0.00,16.40
249,6.17,0.00,15.09
250,6.19,0.00,16.20
251,6.20,0.00,15.80
252,6.20,0.00,16.10
253,6.21,0.00,17.67
254,6.21,0.00,17.89
255,6.21,0.00,20.00
256,6.18,0.00,22.57
257,6.18,0.00,23.00
258,6.18,0.00,23.57
259,6.15,0.00,23.29
260,6.26,0.00,22.86
261,6.24,0.00,22.29
262,6.24,0.00,22.71
263,6.35,0.00,26.17
264,6.35,0.00,22.57
265,6.35,0.00,22.29
266,6.38,0.00,22.00
267,6.38,0.00,19.62
268,6.37,0.00,19.25
269,6.37,0.00,17.44
270,6.37,0.00,17.67
271,6.37,0.00,16.10
272,6.36,0.00,15.70
273,6.36,0.00,15.80
274,6.33,0.00,17.33
275,6.33,0.00,16.00
276,6.38,0.00,17.44
277,6.38,0.00,15.80
278,6.38,0.00,16.10
279,6.39,0.00,17.67
280,6.39,0.00,16.00
281,6.37,0.00,15.70
282,6.37,0.00,16.00
283,6.37,0.00,16.40
284,6.40,0.00,16.00
285,6.37,0.00,15.70
286,6.35,0.00,15.60
287,6.35,0.00,14.55
288,6.35,0.00,13.58
289,6.35,0.00,12.69
290,6.35,0.00,11.93
291,6.32,0.00,11.71
292,6.32,0.00,11.13
293,6.30,0.00,11.07
294,6.44,0.00,11.57
295,6.42,0.00,12.23
296,6.42,0.00,13.58
297,6.42,0.00,13.75
298,6.42,0.00,12.85
299,6.41,0.00,12.77
300,6.41,0.00,13.00
301,6.38,0.00,12.92
302,6.38,0.00,13.83
303,6.38,0.00,14.17
304,6.46,0.00,13.83
305,6.46,0.00,13.58
306,6.45,0.00,14.64
307,6.47,0.00,14.36
308,6.53,0.00,15.50
309,6.68,0.00,15.10
310,6.68,0.00,15.40
311,6.73,0.00,16.89
312,6.80,0.00,16.44
313,6.80,0.00,15.10
314,6.80,0.00,14.09
315,6.80,0.00,14.45
316,6.80,0.00,13.58
317,6.80,0.00,13.33
318,6.80,0.00,13.67
319,6.77,0.00,13.33
320,6.77,0.00,12.54
321,6.77,0.00,12.69
322,6.77,0.00,12.00
323,6.77,0.00,11.71
324,6.77,0.00,11.86
325,6.77,0.00,11.27
326,6.77,0.00,11.47
327,6.75,0.00,12.07
328,6.82,0.00,12.69
329,6.82,0.00,13.00
330,6.80,0.00,12.77
331,6.78,0.00,12.62
332,6.78,0.00,11.86
333,6.78,0.00,12.00
334,6.76,0.00,11.93
335,6.75,0.00,11.64
336,6.74,0.00,12.38
337,6.72,0.00,13.17
338,6.70,0.00,12.83
339,6.77,0.00,12.50
340,6.76,0.00,12.33
341,6.74,0.00,13.27
342,6.74,0.00,12.33
343,6.74,0.00,11.54
344,6.74,0.00,11.38
345,6.72,0.00,12.08
346,6.72,0.00,12.42
347,6.70,0.00,12.17
348,6.70,0.00,12.25
349,6.70,0.00,12.58
350,6.70,0.00,11.69
351,6.72,0.00,11.38
352,6.72,0.00,11.62
353,6.72,0.00,11.46
354,6.72,0.00,11.69
355,6.72,0.00,11.14
356,6.70,0.00,11.00
357,6.70,0.00,10.47
358,6.68,0.00,11.07
359,6.70,0.00,10.93
360,6.70,0.00,11.07
361,6.70,0.00,10.40
