RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
227,47.92,7.78,1.12
228,47.64,8.33,1.12
229,47.97,8.28,1.00
230,48.30,8.24,1.00
231,48.02,8.77,1.00
232,47.74,9.30,1.00
233,47.46,9.83,1.00
234,47.46,9.83,1.00
235,47.19,10.34,1.00
236,47.51,10.29,1.00
237,47.24,10.80,1.00
238,47.24,10.80,1.29
239,46.98,11.30,1.29
240,47.30,11.24,1.00
241,47.30,11.24,1.00
242,47.03,11.73,1.00
243,46.77,12.22,1.00
244,46.51,12.71,1.00
245,46.51,12.71,1.29
246,46.51,12.71,1.50
247,46.83,12.64,1.29
248,47.14,12.57,1.33
249,46.89,13.04,1.33
250,46.89,13.04,1.29
251,46.89,13.04,1.62
252,47.19,12.97,1.71
253,47.50,12.90,1.43
254,47.50,12.90,1.71
255,47.80,12.83,1.50
256,47.80,12.83,1.43
257,48.10,12.77,1.50
258,48.40,12.70,1.00
259,48.40,12.70,1.60
260,48.68,12.63,1.75
261,48.97,12.57,1.00
262,48.71,13.02,1.00
263,48.46,13.47,1.00
264,48.46,13.47,1.50
265,48.46,13.47,2.00
266,48.74,13.40,1.50
267,49.02,13.33,1.00
268,48.77,13.78,1.00
269,48.52,14.21,1.00
270,48.28,14.65,1.00
271,48.04,15.08,1.00
272,48.31,15.00,1.00
273,48.59,14.93,1.00
274,48.35,15.35,1.00
275,48.63,15.27,1.00
276,48.63,15.27,2.00
277,48.63,15.27,2.00
278,48.90,15.20,1.00
279,48.66,15.61,1.00
280,48.42,16.02,1.00
281,48.19,16.43,1.00
282,48.19,16.43,1.00
283,47.96,16.83,1.00
284,47.73,17.22,1.00
285,47.73,17.22,2.00
286,48.00,17.14,1.00
287,47.77,17.54,1.00
288,48.03,17.45,1.00
289,47.81,17.84,1.00
290,47.58,18.22,1.00
291,47.36,18.60,1.00
292,47.62,18.52,0.00
293,47.62,18.52,1.00
294,47.88,18.43,0.00
295,47.67,18.81,0.00
296,47.45,19.18,0.00
297,47.23,19.55,0.00
298,47.02,19.91,0.00
299,46.81,20.27,0.00
300,46.60,20.63,0.00
301,46.39,20.98,0.00
302,46.18,21.33,0.00
303,46.18,21.33,0.00
304,45.98,21.68,0.00
305,45.78,22.03,0.00
306,45.57,22.37,0.00
307,45.38,22.71,0.00
308,45.18,23.04,0.00
309,44.98,23.38,0.00
310,44.79,23.71,0.00
311,44.60,24.03,0.00
312,44.41,24.36,0.00
313,44.22,24.68,0.00
314,44.22,24.68,1.00
315,44.22,24.68,2.50
316,44.22,24.68,2.33
317,44.47,24.58,2.50
318,44.72,24.47,1.00
319,44.53,24.79,1.00
320,44.35,25.10,1.00
321,44.16,25.42,1.00
322,44.16,25.42,1.33
323,44.41,25.31,1.00
324,44.41,25.31,1.00
325,44.23,25.62,1.00
326,44.48,25.51,1.00
327,44.30,25.82,1.00
328,44.12,26.12,1.00
329,44.12,26.12,2.00
330,43.94,26.42,2.00
331,44.19,26.32,1.00
332,44.01,26.61,1.00
333,44.25,26.51,0.00
334,44.08,26.80,0.00
335,43.90,27.09,0.00
336,43.73,27.38,0.00
337,43.55,27.67,0.00
338,43.38,27.95,0.00
339,43.21,28.24,0.00
340,43.21,28.24,2.00
341,43.45,28.12,1.00
342,43.45,28.12,1.50
343,43.28,28.40,1.50
344,43.53,28.29,1.00
345,43.36,28.57,1.00
346,43.19,28.85,1.00
347,43.03,29.12,1.00
348,42.86,29.39,1.00
349,42.70,29.66,1.00
350,42.54,29.92,1.00
351,42.78,29.81,0.00
352,42.62,30.08,0.00
353,42.46,30.34,0.00
354,42.46,30.34,3.00
355,42.30,30.60,3.00
356,42.54,30.48,1.00
357,42.54,30.48,1.00
358,42.38,30.74,1.00
359,42.38,30.74,2.00
360,42.22,31.00,2.00
361,42.22,31.00,1.67
362,42.46,30.88,1.00
363,42.30,31.14,1.00
364,42.15,31.39,1.00
365,42.00,31.64,1.00
366,41.84,31.88,1.00
367,42.08,31.77,1.00
368,41.93,32.01,1.00
369,41.78,32.26,1.00
370,42.01,32.14,0.00
371,42.01,32.14,0.00
372,41.86,32.38,0.00
373,41.71,32.62,0.00
374,41.57,32.86,0.00
375,41.42,33.10,0.00
376,41.27,33.33,0.00
377,41.13,33.57,0.00
378,40.99,33.80,0.00
379,40.84,34.03,0.00
380,40.70,34.26,0.00
381,40.70,34.26,4.00
382,40.93,34.14,2.00
383,41.16,34.02,0.00
384,41.02,34.25,0.00
385,40.88,34.47,0.00
386,40.74,34.69,0.00
387,40.60,34.92,0.00
388,40.47,35.14,0.00
389,40.33,35.35,0.00
390,40.19,35.57,0.00
391,40.06,35.79,0.00
392,39.93,36.00,0.00
393,39.93,36.00,2.00
394,40.15,35.88,0.00
395,40.02,36.09,0.00
396,39.89,36.30,0.00
397,39.76,36.51,0.00
398,39.76,36.51,0.00
399,39.63,36.72,0.00
400,39.50,36.93,0.00
401,39.37,37.13,0.00
402,39.24,37.34,0.00
403,39.11,37.54,0.00
404,38.99,37.74,0.00
405,38.86,37.94,0.00
406,38.86,37.94,4.00
407,39.08,37.82,1.00
408,38.96,38.02,1.00
409,38.83,38.22,1.00
410,38.83,38.22,1.00
411,38.71,38.41,1.00
412,38.59,38.61,1.00
413,38.47,38.80,1.00
414,38.35,38.99,1.00
415,38.23,39.18,1.00
416,38.23,39.18,1.00
417,38.45,39.06,0.00
418,38.45,39.06,4.00
419,38.67,38.94,0.00
420,38.67,38.94,0.00
421,38.55,39.13,0.00
422,38.55,39.13,0.00
423,38.43,39.32,0.00
424,38.31,39.51,0.00
425,38.31,39.51,2.00
426,38.53,39.38,0.00
427,38.41,39.57,0.00
428,38.41,39.57,2.00
429,38.41,39.57,2.00
430,38.29,39.76,2.00
431,38.17,39.94,2.00
432,38.39,39.82,0.00
433,38.39,39.82,0.00
434,38.27,40.00,0.00
435,38.16,40.18,0.00
436,38.04,40.36,0.00
437,37.93,40.54,0.00
438,37.93,40.54,0.00
439,37.81,40.72,0.00
440,37.70,40.90,0.00
441,37.59,41.07,0.00
442,37.48,41.25,0.00
443,37.48,41.25,0.00
444,37.48,41.25,0.00
445,37.48,41.25,0.00
446,37.37,41.42,0.00
447,37.37,41.42,0.00
448,37.26,41.59,0.00
449,37.15,41.76,0.00
450,37.04,41.94,0.00
451,36.93,42.11,0.00
452,36.82,42.27,0.00
453,36.82,42.27,0.00
454,36.72,42.44,0.00
455,36.72,42.44,0.00
456,36.61,42.61,0.00
457,36.50,42.77,0.00
458,36.40,42.94,0.00
459,36.40,42.94,0.00
460,36.29,43.10,0.00
461,36.19,43.27,0.00
462,36.09,43.43,0.00
463,35.98,43.59,0.00
464,35.98,43.59,0.00
465,35.98,43.59,0.00
466,35.88,43.75,0.00
467,35.78,43.91,0.00
468,35.78,43.91,2.00
469,35.68,44.07,2.00
470,35.68,44.07,2.00
471,35.88,43.94,0.00
472,35.78,44.10,0.00
473,35.68,44.26,0.00
474,35.68,44.26,1.00
475,35.58,44.41,1.00
476,35.48,44.57,1.00
477,35.39,44.72,1.00
478,35.29,44.88,1.00
479,35.19,45.03,1.00
480,35.09,45.18,1.00
481,35.00,45.33,1.00
482,35.00,45.33,1.50
483,35.20,45.21,2.00
484,35.10,45.36,2.00
485,35.01,45.50,2.00
486,34.91,45.65,2.00
487,34.82,45.80,2.00
488,34.82,45.80,2.00
489,35.02,45.68,1.50
490,34.92,45.82,1.50
491,34.92,45.82,1.50
492,34.92,45.82,1.50
493,34.92,45.82,1.50
494,34.83,45.97,1.50
495,34.83,45.97,2.33
496,35.03,45.84,3.00
497,35.23,45.72,2.50
498,35.43,45.60,1.00
499,35.34,45.74,1.00
500,35.54,45.62,1.00
501,35.45,45.77,1.00
502,35.36,45.91,1.00
503,35.26,46.05,1.00
504,35.17,46.19,1.00
505,35.17,46.19,1.00
506,35.08,46.34,1.00
507,34.99,46.48,1.00
508,34.90,46.61,1.00
509,34.81,46.75,1.00
510,34.72,46.89,1.00
511,34.63,47.03,1.00
512,34.54,47.16,1.00
513,34.45,47.30,1.00
