RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
227,11.91,0.00,29.50
228,12.09,0.00,29.00
229,12.30,0.00,28.67
230,12.52,0.00,28.00
231,12.74,0.00,27.50
232,12.74,0.00,23.71
233,12.96,0.00,23.29
234,13.19,0.00,22.71
235,13.19,0.00,20.12
236,13.19,0.00,20.38
237,13.19,0.00,18.33
238,13.19,0.00,18.78
239,13.19,0.00,17.20
240,13.23,0.00,18.78
241,13.32,0.00,18.44
242,13.54,0.00,18.00
243,13.54,0.00,18.44
244,13.54,0.00,18.78
245,13.53,0.00,18.44
246,13.46,0.00,20.62
247,13.66,0.00,23.14
248,13.66,0.00,20.50
249,13.66,0.00,18.44
250,13.87,0.00,18.00
251,14.09,0.00,17.56
252,14.09,0.00,17.89
253,14.05,0.00,17.67
254,14.05,0.00,20.12
255,14.01,0.00,20.00
256,13.99,0.00,19.75
257,13.99,0.00,17.89
258,13.99,0.00,18.33
259,13.97,0.00,18.11
260,14.09,0.00,20.00
261,14.31,0.00,19.50
262,14.31,0.00,17.67
263,14.29,0.00,19.62
264,14.29,0.00,17.56
265,14.34,0.00,17.33
266,14.41,0.00,19.25
267,14.41,0.00,19.62
268,14.49,0.00,19.25
269,14.49,0.00,17.44
270,14.49,0.00,17.67
271,14.49,0.00,16.10
272,14.66,0.00,17.44
273,14.66,0.00,17.56
274,14.62,0.00,19.50
275,14.62,0.00,20.00
276,14.78,0.00,22.43
277,14.78,0.00,19.75
278,14.78,0.00,20.12
279,14.80,0.00,22.71
280,14.80,0.00,20.00
281,14.84,0.00,19.62
282,14.84,0.00,20.00
283,14.84,0.00,18.22
284,14.82,0.00,20.00
285,14.97,0.00,19.62
286,14.88,0.00,22.29
287,14.88,0.00,22.86
288,14.88,0.00,20.38
289,14.88,0.00,20.62
290,14.88,0.00,20.88
291,14.85,0.00,23.43
292,14.85,0.00,20.88
293,14.79,0.00,23.71
294,14.90,0.00,23.14
295,15.05,0.00,26.50
296,15.05,0.00,23.29
297,15.05,0.00,20.62
298,15.05,0.00,18.56
299,15.02,0.00,18.44
300,15.02,0.00,18.78
301,14.99,0.00,21.00
302,15.04,0.00,23.71
