RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
227,27.89,8.38,1.10
228,27.72,8.93,1.10
229,27.95,8.88,1.00
230,27.91,8.82,1.00
231,27.74,9.36,1.00
232,27.58,9.88,1.00
233,27.42,10.40,1.00
234,27.42,10.40,1.00
235,27.26,10.92,1.00
236,27.11,10.86,1.00
237,26.96,11.36,1.00
238,26.96,11.36,1.38
239,27.03,11.30,1.00
240,26.88,11.80,1.00
241,26.88,11.80,1.00
242,26.73,12.29,1.00
243,26.58,12.78,1.00
244,26.44,13.26,1.00
245,26.44,13.26,1.25
246,26.44,13.26,1.44
247,26.31,13.19,1.25
248,26.20,13.11,1.29
249,26.05,13.59,1.29
250,26.05,13.59,1.25
251,26.05,13.59,1.56
252,25.92,13.51,1.62
253,25.95,13.44,1.38
254,25.95,13.44,1.38
255,26.00,13.37,1.00
256,26.00,13.37,1.00
257,25.90,13.30,1.00
258,25.77,13.76,1.00
259,25.77,13.76,1.22
260,25.64,13.68,1.25
261,25.51,14.14,1.25
262,25.52,14.06,1.00
263,25.38,14.51,1.00
264,25.38,14.51,1.25
265,25.38,14.51,1.56
266,25.27,14.43,1.25
267,25.32,14.36,1.00
268,25.19,14.80,1.00
269,25.07,15.23,1.00
270,24.94,15.66,1.00
271,24.81,16.08,1.00
272,24.73,16.00,1.00
273,24.62,15.92,1.00
274,24.50,16.34,1.00
275,24.43,16.26,1.00
276,24.43,16.26,1.60
277,24.43,16.26,1.60
278,24.66,16.18,1.00
279,24.54,16.59,1.00
280,24.42,16.99,1.00
281,24.30,17.39,1.00
282,24.30,17.39,1.00
283,24.18,17.79,1.00
284,24.07,18.18,1.00
285,24.07,18.18,1.43
286,24.36,18.10,1.00
287,24.24,18.48,1.00
288,24.14,18.40,1.00
289,24.02,18.78,1.00
290,23.91,19.16,1.00
291,23.80,19.53,1.00
292,23.74,19.44,1.00
293,23.74,19.44,1.00
294,23.67,19.35,1.00
295,23.56,19.72,1.00
296,23.46,20.09,1.00
297,23.43,20.00,1.00
298,23.32,20.36,1.00
299,23.22,20.72,1.00
300,23.11,21.08,1.00
301,23.01,21.43,1.00
302,22.96,21.33,1.00
303,22.96,21.33,1.00
304,22.98,21.24,1.00
305,22.88,21.59,1.00
306,22.78,21.93,1.00
307,22.68,22.27,1.00
308,22.58,22.61,1.00
309,22.48,22.94,1.00
310,22.38,23.28,1.00
311,22.29,23.61,1.00
312,22.65,23.50,0.00
313,22.55,23.83,0.00
314,22.55,23.83,1.00
315,22.55,23.83,2.50
316,22.55,23.83,2.33
317,22.50,23.73,1.67
318,22.41,24.05,1.67
319,22.32,24.37,1.67
320,22.48,24.27,1.50
321,22.38,24.58,1.50
322,22.38,24.58,1.67
323,22.31,24.48,1.50
324,22.31,24.48,1.50
325,22.21,24.79,1.50
326,22.28,24.69,1.00
327,22.19,25.00,1.00
328,22.10,25.31,1.00
329,22.10,25.31,1.67
330,22.01,25.61,1.67
331,22.26,25.51,1.00
332,22.17,25.81,1.00
333,22.17,25.70,1.00
334,22.08,26.00,1.00
335,21.99,26.29,1.00
336,21.90,26.59,1.00
337,21.82,26.88,1.00
338,21.73,27.17,1.00
339,21.65,27.45,1.00
340,21.65,27.45,1.50
341,21.64,27.34,1.00
342,21.64,27.34,1.33
343,21.55,27.63,1.33
344,21.54,27.52,1.00
345,21.46,27.80,1.00
346,21.37,28.08,1.00
347,21.29,28.35,1.00
348,21.21,28.63,1.00
349,21.13,28.90,1.00
350,21.05,29.17,1.00
351,20.97,29.06,1.00
352,21.21,28.95,0.00
353,21.13,29.21,0.00
354,21.13,29.21,0.00
355,21.05,29.48,0.00
356,20.97,29.74,0.00
357,20.97,29.74,0.00
358,20.90,30.00,0.00
359,20.90,30.00,3.00
360,20.82,30.26,3.00
361,20.82,30.26,2.00
362,20.98,30.15,1.00
363,20.90,30.40,1.00
364,20.82,30.66,1.00
365,20.75,30.91,1.00
366,20.67,31.16,1.00
367,20.77,31.05,0.00
368,20.70,31.29,0.00
369,20.62,31.54,0.00
370,20.55,31.79,0.00
371,20.55,31.79,0.00
372,20.48,32.03,0.00
373,20.40,32.27,0.00
374,20.33,32.51,0.00
375,20.26,32.75,0.00
376,20.19,32.98,0.00
377,20.12,33.22,0.00
378,20.05,33.45,0.00
379,19.98,33.68,0.00
380,19.91,33.91,0.00
381,19.91,33.91,4.00
382,20.04,33.79,2.00
383,20.35,33.68,0.00
384,20.28,33.90,0.00
385,20.22,34.13,0.00
386,20.15,34.35,0.00
387,20.08,34.58,0.00
388,20.01,34.80,0.00
389,19.94,35.02,0.00
390,19.88,35.23,0.00
391,19.81,35.45,0.00
392,19.74,35.67,0.00
393,19.74,35.67,2.00
394,19.89,35.55,0.00
395,19.83,35.76,0.00
396,19.76,35.97,0.00
397,19.70,36.18,0.00
398,19.70,36.18,1.00
399,19.63,36.39,1.00
400,19.57,36.60,1.00
401,19.50,36.81,1.00
402,19.44,37.01,1.00
403,19.38,37.22,1.00
404,19.32,37.42,1.00
405,19.25,37.62,1.00
406,19.25,37.62,2.50
407,19.35,37.50,1.00
408,19.29,37.70,1.00
409,19.23,37.90,1.00
410,19.23,37.90,1.00
411,19.17,38.10,1.00
412,19.11,38.29,1.00
413,19.05,38.49,1.00
414,18.99,38.68,1.00
415,18.93,38.87,1.00
416,18.93,38.87,1.00
417,19.06,38.75,1.00
418,19.06,38.75,2.50
419,19.03,38.63,1.00
420,19.03,38.63,1.00
421,18.97,38.82,1.00
422,18.97,38.82,1.00
423,18.91,39.01,1.00
424,18.85,39.20,1.00
425,18.85,39.20,1.50
426,18.93,39.08,1.00
427,19.18,38.96,0.00
428,19.18,38.96,2.00
429,19.18,38.96,2.00
430,19.12,39.14,2.00
431,19.06,39.33,2.00
432,19.26,39.21,0.00
433,19.26,39.21,0.00
434,19.20,39.39,0.00
435,19.14,39.58,0.00
436,19.08,39.76,0.00
437,19.02,39.94,0.00
438,19.02,39.94,0.00
439,18.97,40.12,0.00
440,18.91,40.30,0.00
441,18.85,40.48,0.00
442,18.80,40.65,0.00
443,18.80,40.65,0.00
444,18.80,40.65,0.00
445,18.80,40.65,0.00
446,18.74,40.83,0.00
447,18.74,40.83,0.00
448,18.69,41.00,0.00
449,18.63,41.18,0.00
450,18.58,41.35,0.00
451,18.52,41.52,0.00
452,18.47,41.69,0.00
453,18.47,41.69,3.00
